Data Release,File UUID,MD5 Checksum,Access,Current Version,Release Date,Release Number
40,bcc10436-c964-4597-93d9-da1e4013be76,1c525454405c23de56474349c01243e5,controlled,bcc10436-c964-4597-93d9-da1e4013be76Current Version,2024-03-29,40.0
41,407f3d17-c0d0-49b7-9451-2452cdf4559c,043c421d89044c2553d952d5dd164b32,controlled,407f3d17-c0d0-49b7-9451-2452cdf4559cCurrent Version,2024-08-28,41.0
42,fbbc42c8-064c-4851-9187-7ec7b124afb8,9afb97f3e6df34c5891e287e1cbe02b5,controlled,fbbc42c8-064c-4851-9187-7ec7b124afb8Current Version,2025-01-30,42.0
43,353a3599-0ac0-4e88-a482-6fbfaf30bbfc,d250328ca47359b9e50ca7f348563d22,controlled,353a3599-0ac0-4e88-a482-6fbfaf30bbfcCurrent Version,2025-05-07,43.0
44,6fe0b238-a69d-4930-a733-1a670a0aa03a,2e3ce7aadc89f1520ad9c0db91d2c17c,controlled,6fe0b238-a69d-4930-a733-1a670a0aa03aCurrent Version,2025-10-29,44.0
45,b0353b8d-9f2c-4b12-8395-09b03c915029,30cb1db9ee5b27bea04fe464d021d21d,controlled,b0353b8d-9f2c-4b12-8395-09b03c915029Current Version,2025-12-04,45.0
46,7c3f4995-6f30-4425-b57f-0186ffe83163,39cf4381acb2e620b77f6865c1c3d0bb,controlled,7c3f4995-6f30-4425-b57f-0186ffe83163Current Version,2026-08-10,46.0
